"Solution[3.726808046216211,0.8491993082380807|0.5299491617815012,0.37151865666521283|0]"
"Solution[3.0987591726367283,1.3640596091722765|0.28683735762661605,2.0266864780747693|0]"
"Solution[3.2242060981231533,4.244398733797978|0.47565002447734656,1.8650823463930801|0]"
"Solution[3.726808046216211,0.8491993082380807|0.5299491617815012,0.37151865666521283|0]"
"Solution[3.3360610586448183,0.7331002982656604|0.5347164544531374,0.37151865666521283|0]"
"Solution[3.597099313963046,0.6938835026648493|0.35796192438230034,2.0266864780747693|0]"
"Solution[3.3360610586448183,0.7331002982656604|0.5347164544531374,0.37151865666521283|0]"
"Solution[3.5155434160635384,0.4662107651153904|0.42962556040349786,4.522899125158577|0]"
"Solution[3.5398412006052733,2.098745305213295|0.5375909787344402,0.37151865666521283|0]"
"Solution[3.5155434160635384,0.4662107651153904|0.42962556040349786,4.522899125158577|0]"
"Solution[3.760026413414452,0.3813750044684889|0.5464453745047684,0.37151865666521283|0]"
"Solution[3.2002173305427006,3.9363938358007253|0.4371191892290395,4.522899125158577|0]"
"Solution[3.760026413414452,0.3813750044684889|0.5464453745047684,0.37151865666521283|0]"
"Solution[3.894778583373341,0.6035685428511651|0.5504721215344327,0.37151865666521283|0]"
"Solution[3.6116317877826387,2.0206779713660437|0.4461814837779988,4.522899125158577|0]"
"Solution[3.4910539645697685,0.5374303563657703|0.44901153028439855,31.312534252845705|0]"
"Solution[3.092689064877259,3.434460871520009|0.5505868100409457,0.37151865666521283|0]"
"Solution[3.101357757469947,2.4909415032269115|0.4554964948944637,4.522899125158577|0]"
"Solution[3.2242060981231533,4.626197239255333|0.44953706634104545,31.312534252845705|0]"
"Solution[3.103615108490633,0.4194050934437287|0.5522173669444699,0.37151865666521283|0]"
"Solution[3.2020609253747025,0.054546384617421395|0.46292392421133205,4.522899125158577|0]"
"Solution[3.4910539645697685,0.9860307870830998|0.4495696590426952,31.312534252845705|0]"
"Solution[3.482195452096913,1.00191992337425|0.5532123736452169,0.37151865666521283|0]"
"Solution[3.815624276768501,3.613139187874885|0.4650126429257153,4.522899125158577|0]"
"Solution[3.4910539645697685,0.9860307870830998|0.4495696590426952,31.312534252845705|0]"
"Solution[3.815624276768501,3.613139187874885|0.4650126429257153,4.522899125158577|0]"
"Solution[3.815624276768501,3.613139187874885|0.4650126429257153,4.522899125158577|0]"
"Solution[3.815624276768501,3.613139187874885|0.4650126429257153,4.522899125158577|0]"
"Solution[3.507168592556848,0.25307469451646714|0.44984453446848927,31.312534252845705|0]"
"Solution[3.354482379999472,0.7497068499130873|0.5560407192252792,0.37151865666521283|0]"
"Solution[3.158571643494861,3.227681699150363|0.4745446581433951,4.522899125158577|0]"
"Solution[3.597099313963046,0.5445466611270726|0.4665913360174409,15.136357611720873|0]"
"Solution[3.248171720880727,0.5479058852099744|0.5548375593898954,0.37182815999111185|0]"
"Solution[3.6368784952494915,2.96749905400326|0.4502345752289765,31.312534252845705|0]"
"Solution[3.537165424787474,4.455713688547003|0.5569389672004346,0.37151865666521283|0]"
"Solution[3.8189439555897042,5.903948932462925|0.4843175457778632,4.522899125158577|0]"
"Solution[3.482195452096913,1.00191992337425|0.4666623040060872,15.136357611720873|0]"
"Solution[3.6873076940824783,1.5290113145006905|0.5558527790339347,0.37182815999111185|0]"
"Solution[3.1322577580138864,3.497957681172722|0.4502842217768437,31.312534252845705|0]"
"Solution[3.273764861936874,5.385445333070657|0.5574258359320953,0.37151865666521283|0]"
"Solution[3.384579999940368,2.834604687386308|0.4927443184358446,4.522899125158577|0]"
"Solution[3.507168592556848,0.7944621085403326|0.46669242593182914,15.136357611720873|0]"
"Solution[3.384579999940368,2.834604687386308|0.4927443184358446,4.522899125158577|0]"
"Solution[3.597099313963046,0.6938835026648493|0.4506228788789068,31.312534252845705|0]"
"Solution[3.866722059367236,5.06782543601794|0.5631366944589108,0.37151865666521283|0]"
"Solution[3.6643882757254116,0.4404935771606413|0.49947061159829115,4.522899125158577|0]"
"Solution[3.3863364393527955,5.281936744017114|0.46792329116241727,15.136357611720873|0]"
"Solution[3.248171720880727,0.5411504152784224|0.4984617293312202,13.614382188532675|0]"
