"Solution[5.6052457907189135,0.007921219915384118|0.5521708282235043,26.5422592901893|0]"
"Solution[5.016296252081461,0.0064914157317957875|0.5521708282235043,26.5422592901893|0]"
"Solution[6.9790562581304325,0.006776955632102619|0.5508951778745176,26.588267689668875|0]"
"Solution[6.9294517565984615,0.006655887851971428|0.5444202615570876,26.596212624162714|0]"
"Solution[6.887286880890981,0.006747220723196607|0.5444202615570876,26.596212624162714|0]"
"Solution[6.346629709721361,0.007425665306250753|0.5444202615570876,26.596212624162714|0]"
"Solution[6.680522467646115,0.006514272196542496|0.5444202615570876,26.596212624162714|0]"
"Solution[6.661136346651765,0.007064660933591882|0.5444202615570876,26.596212624162714|0]"
"Solution[5.362741223451396,0.00764243284599964|0.5444202615570876,26.596212624162714|0]"
"Solution[6.839286546387978,0.00623390452634432|0.5388790442539994,26.635055891028706|0]"
